label	GO:0005768 endosome	GO:0044718 siderophore transmembrane transport	GO:0016020 membrane	GO:0006879 intracellular iron ion homeostasis	GO:0015343 siderophore-iron transmembrane transporter activity	GO:0033214 siderophore-dependent iron import into cell	GO:0022857 transmembrane transporter activity	GO:0005774 vacuolar membrane	GO:0055085 transmembrane transport	GO:0020037 heme binding	GO:0015232 heme transmembrane transporter activity	GO:0005886 plasma membrane	GO:1904334 heme import across plasma membrane	GO:0005575 cellular_component	GO:0006826 iron ion transport	GO:0031410 cytoplasmic vesicle	GO:0000324 fungal-type vacuole	GO:0010008 endosome membrane	GO:0015891 siderophore transport	GO:0015344 siderophore uptake transmembrane transporter activity	GO:0006811 monoatomic ion transport	GO:0000329 fungal-type vacuole membrane	GO:0005634 nucleus	GO:0005737 cytoplasm	GO:0071944 cell periphery	GO:0009237 siderophore metabolic process	GO:0003677 DNA binding	GO:0006355 regulation of DNA-templated transcription	GO:0008270 zinc ion binding	GO:0006351 DNA-templated transcription	GO:0000981 DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0006357 regulation of transcription by RNA polymerase II	GO:0015297 antiporter activity	GO:0005773 vacuole	GO:0034634 glutathione transmembrane transporter activity	GO:0034775 glutathione transmembrane transport	GO:0006508 proteolysis	GO:0004252 serine-type endopeptidase activity	GO:0008236 serine-type peptidase activity	GO:0015078 proton transmembrane transporter activity	GO:1902600 proton transmembrane transport	GO:0015620 ferric-enterobactin transmembrane transporter activity	GO:0015685 ferric-enterobactin import into cell	GO:0033101 cellular bud membrane	GO:1990116 ribosome-associated ubiquitin-dependent protein catabolic process	GO:0043023 ribosomal large subunit binding	GO:1990112 RQC complex	GO:0072344 rescue of stalled ribosome	GO:0061630 ubiquitin protein ligase activity	GO:0005829 cytosol
A1O5_00943_t1	GO:0005768 endosome	GO:0044718 siderophore transmembrane transport	GO:0016020 membrane	GO:0006879 intracellular iron ion homeostasis	GO:0015343 siderophore-iron transmembrane transporter activity	GO:0033214 siderophore-dependent iron import into cell	GO:0022857 transmembrane transporter activity	GO:0005774 vacuolar membrane	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1O5_02960_t1	NA	NA	GO:0016020 membrane	NA	NA	NA	GO:0022857 transmembrane transporter activity	NA	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1O5_05365_t1	NA	NA	GO:0016020 membrane	NA	NA	NA	GO:0022857 transmembrane transporter activity	NA	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1O5_08329_t1	NA	NA	GO:0016020 membrane	NA	NA	NA	GO:0022857 transmembrane transporter activity	NA	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1O5_12941_t1	NA	NA	GO:0016020 membrane	NA	NA	NA	GO:0022857 transmembrane transporter activity	NA	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1O7_02689_t1	NA	NA	GO:0016020 membrane	NA	NA	NA	GO:0022857 transmembrane transporter activity	NA	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1O7_03975_t1	NA	NA	GO:0016020 membrane	NA	NA	NA	GO:0022857 transmembrane transporter activity	NA	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1O7_07174_t1	NA	NA	GO:0016020 membrane	NA	NA	NA	GO:0022857 transmembrane transporter activity	NA	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1O7_09024_t1	GO:0005768 endosome	GO:0044718 siderophore transmembrane transport	GO:0016020 membrane	GO:0006879 intracellular iron ion homeostasis	GO:0015343 siderophore-iron transmembrane transporter activity	GO:0033214 siderophore-dependent iron import into cell	GO:0022857 transmembrane transporter activity	GO:0005774 vacuolar membrane	GO:0055085 transmembrane transport	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
